,노트북 (방3)
105120,2295.839
105408,4904.617
105696,7281.389
105984,9663.075
106272,10367.493
106560,11199.652
106848,13024.775
107136,14550.62
107424,16335.229000000001
107712,18631.064000000002
108000,21671.919
108288,24022.193000000003
108576,26714.493000000002
108864,29170.798000000003
109152,31088.405000000002
109440,31088.405
109728,31088.405
110016,31088.405
110304,31088.405
110592,31088.405
110880,31088.405
111168,31088.405
111456,31088.405
111744,31088.405
112032,31088.405
112320,31088.405
112608,31088.405
112896,31088.405
113184,31088.405
113472,31088.405
113760,31088.405
