,선풍기1 (방1)
0,836.5719999999999
288,1741.9569999999999
576,2319.607
864,3743.429
1152,4202.357
1440,4704.724
1728,5620.533
2016,6205.326
2304,6721.483
2592,7524.786
2880,8527.529
3168,8768.415
3456,10695.918000000001
3744,11832.904000000002
4032,14555.685000000001
4320,15964.567
4608,17456.853
4896,20515.211
5184,22921.053
5472,24108.525999999998
5760,26638.018999999997
6048,28019.806999999997
6336,30124.210999999996
6624,31282.6
6912,32254.906
7200,33753.517
7488,35543.785
7776,38068.071
8064,39034.76
8352,39258.018000000004
