,전자레인지 (주방)
96480,3325.303
96768,4795.494
97056,6263.313
97344,7732.318
97632,9199.119
97920,10662.354000000001
98208,12963.004
98496,16094.09
98784,17571.37
99072,19040.076999999997
99360,21813.938
99648,23274.377999999997
99936,24749.047999999995
100224,26220.442999999996
100512,27688.292999999994
100800,29991.472999999998
101088,32248.857999999997
101376,35613.481
101664,37071.938
101952,38542.446
102240,40843.490000000005
102528,43132.851
102816,45373.376000000004
103104,47664.482
103392,49127.044
103680,50588.999
103968,52060.291000000005
104256,53527.263000000006
104544,55699.81300000001
104832,57980.29800000001
