,TV3 (방2)
96480,88.886
96768,177.75199999999998
97056,266.587
97344,355.469
97632,444.954
97920,533.2
98208,622.476
98496,711.674
98784,800.8689999999999
99072,889.3539999999999
99360,978.5769999999999
99648,1067.7199999999998
99936,1158.4159999999997
100224,1248.3279999999997
100512,1337.9619999999998
100800,1426.717
101088,1515.555
101376,1605.1670000000001
101664,1693.518
101952,1783.713
102240,1873.418
102528,1962.301
102816,2052.74
103104,2141.635
103392,2231.0310000000004
103680,2320.2930000000006
103968,2409.9840000000004
104256,2500.5890000000004
104544,2590.3160000000003
104832,2681.3370000000004
