,TV2 (방1)
96480,10793.694
96768,13495.848999999998
97056,21006.333
97344,27383.447
97632,30386.892
97920,37646.38
98208,43186.412
98496,46521.459
98784,46604.871
99072,48360.296
99360,56818.244000000006
99648,60029.74800000001
99936,64788.806000000004
100224,69054.094
100512,78421.78899999999
100800,84268.71100000001
101088,89285.04800000001
101376,96397.98500000002
101664,98311.23300000002
101952,103539.06700000002
102240,112629.83900000002
102528,120280.22900000002
102816,122514.06500000002
103104,127083.188
103392,131888.24899999998
103680,136523.95899999997
103968,136609.76299999998
104256,137539.48299999998
104544,141766.009
104832,153208.60499999998
