,PC (방1)
105120,90.338
105408,181.821
105696,273.679
105984,365.67499999999995
106272,457.21999999999997
106560,549.1229999999999
106848,640.6539999999999
107136,732.147
107424,823.153
107712,913.764
108000,1005.761
108288,1097.982
108576,1190.706
108864,1281.109
109152,1335.877
109440,1335.877
109728,1335.877
110016,1335.877
110304,1335.877
110592,1335.877
110880,1335.877
111168,1335.877
111456,1335.877
111744,1335.877
112032,1335.877
112320,1335.877
112608,1335.877
112896,1335.877
113184,1335.877
113472,1335.877
113760,1335.877
