,PC (방1),TV (거실),TV2 (방1),TV3 (방2),노트북 (방3),선풍기 (방1),선풍기1 (방1),세탁기 (발코니2),에어컨 (거실),에어컨 (방1),전기밥솥 (주방),전자레인지 (주방)
105120,90.338,94.417,6905.3820000000005,90.46,2295.839,102.994,86.622,309.538,98.554,95.11000000000001,96.69800000000001,2252.153
105408,181.821,187.785,13580.817000000001,180.538,4904.617,335.41999999999996,403.983,618.2909999999999,194.92200000000003,189.15500000000003,192.872,3708.7749999999996
105696,273.679,282.824,17152.257,270.134,7281.389,2174.855,687.4480000000001,2477.922,292.10900000000004,283.925,288.387,5163.968
105984,365.67499999999995,379.0,24149.515,361.137,9663.075,3851.376,773.7280000000001,2836.033,389.98300000000006,380.17,384.971,6625.136
106272,457.21999999999997,474.926,24235.999,451.23900000000003,10367.493,4684.176,1005.892,3198.091,488.90700000000004,476.415,483.435,8090.088
106560,549.1229999999999,569.812,25386.809,541.2810000000001,11199.652,6812.286,1092.089,5861.512999999999,587.7320000000001,573.207,580.006,9550.208999999999
106848,640.6539999999999,663.83,27435.38,630.4520000000001,13024.775,11312.226999999999,1349.9769999999999,6218.894999999999,684.9620000000001,669.9590000000001,676.13,11001.732
107136,732.147,757.948,31473.977,721.399,14550.62,16179.504,1561.669,7680.215,783.1210000000001,765.069,772.176,12464.402999999998
107424,823.153,851.8149999999999,40034.675,809.509,16335.229000000001,19478.736,1832.868,9086.628,880.6090000000002,859.1139999999999,868.5450000000001,14705.450999999997
107712,913.764,945.769,43231.438,899.0540000000001,18631.064000000002,22950.194,1918.979,10354.558,977.8840000000001,953.8839999999999,963.618,16158.985999999997
108000,1005.761,1040.832,49361.171,989.565,21671.919,26136.533,2218.973,10713.741000000002,1074.9930000000002,1050.129,1060.06,18555.650999999998
108288,1097.982,1136.4810000000002,57140.704000000005,1078.806,24022.193000000003,27802.006,2401.148,11073.612000000001,1173.4260000000002,1146.3739999999998,1156.6779999999999,20019.451999999997
108576,1190.706,1232.3230000000003,61228.75000000001,1168.2930000000001,26714.493000000002,29440.649,2709.2340000000004,11437.143,1272.496,1243.1659999999997,1253.716,21489.052999999996
108864,1281.109,1327.0770000000002,65454.61800000001,1257.814,29170.798000000003,30941.664,2945.4330000000004,13498.470000000001,1396.7350000000001,1339.9179999999997,1343.2579999999998,22955.827999999998
109152,1335.877,1385.9740000000002,67571.171,1313.353,31088.405000000002,31432.934,3213.3200000000006,13687.919000000002,1458.0490000000002,1399.2079999999996,1396.7359999999999,23874.394999999997
109440,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
109728,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
110016,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
110304,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
110592,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
110880,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
111168,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
111456,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
111744,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
112032,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
112320,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
112608,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
112896,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
113184,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
113472,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
113760,1335.877,1385.9740000000002,67571.171,1313.353,31088.405,31432.934,3213.3199999999997,13687.919,1458.049,1399.208,1396.7359999999999,23874.394999999997
