,세탁기 (발코니2)
0,360.207
288,1866.228
576,2170.187
864,2477.076
1152,2787.3940000000002
1440,3095.0780000000004
1728,4578.478000000001
2016,4892.12
2304,6412.233
2592,6714.666
2880,7016.796
3168,7319.316000000001
3456,8756.016000000001
3744,10130.084
4032,11287.091
4320,11645.301000000001
4608,11999.27
4896,13198.047
5184,13560.101
5472,13924.135
5760,14286.01
6048,15016.218
6336,15768.208
6624,16132.089
6912,16496.646
7200,16861.622
7488,17630.125
7776,18489.509000000002
8064,18798.381
8352,19519.474000000002
