,전기밥솥 (주방)
0,98.94600000000001
288,197.072
576,294.545
864,392.678
1152,490.053
1440,588.162
1728,687.017
2016,785.05
2304,881.846
2592,980.573
2880,1078.12
3168,1175.274
3456,1273.1729999999998
3744,1370.7099999999998
4032,1467.4539999999997
4320,1564.547
4608,1661.5330000000001
4896,1759.027
5184,1855.939
5472,1953.7160000000001
5760,2051.563
6048,2147.489
6336,2244.731
6624,2342.884
6912,2438.896
7200,2535.525
7488,2631.839
7776,2728.153
8064,2824.711
8352,2919.866
