,전자레인지 (주방)
0,1465.8020000000001
288,5636.017
576,8982.835
864,10445.598999999998
1152,12742.437999999998
1440,16300.142999999998
1728,17769.334
2016,19235.818
2304,21516.339
2592,25892.139
2880,29383.816
3168,31667.993
3456,33123.471
3744,35358.413
4032,37635.223
4320,39870.21
4608,41318.478
4896,42772.337
5184,45018.04
5472,46479.202
5760,48719.880999999994
6048,50946.041999999994
6336,52393.022999999994
6624,54622.912
6912,56066.134999999995
7200,58291.84
7488,61080.113999999994
7776,62529.077
8064,64803.7
8352,67066.54
