,에어컨 (거실)
0,100.49100000000001
288,200.87
576,300.293
864,399.457
1152,497.91999999999996
1440,598.3589999999999
1728,698.4759999999999
2016,798.901
2304,899.704
2592,1000.4219999999999
2880,1098.697
3168,1198.791
3456,1298.5249999999999
3744,1398.3059999999998
4032,1497.9059999999997
4320,1598.908
4608,1696.466
4896,1794.927
5184,1894.377
5472,1993.637
5760,2092.98
6048,2191.386
6336,2288.133
6624,2386.004
6912,2483.5969999999998
7200,2581.2279999999996
7488,2680.8639999999996
7776,2779.4259999999995
8064,2877.5079999999994
8352,2976.7789999999995
