,선풍기 (방1)
109044,4.411
109056,4.243
109068,4.484999999999999
109080,18.107
109092,361.832
109104,358.3950000000001
109116,359.48400000000004
109128,322.58799999999997
109140,4.256
109152,4.278
109164,4.363
109176,4.185
109188,4.57
109200,4.195
109212,4.348
109224,4.131
109236,4.281
109248,4.34
109260,4.249
109272,4.357
109284,95.703
109296,339.914
109308,4.283
109320,4.0729999999999995
