,sum
2021-07-01,435820.2
2021-08-01,344656.29300000006
2021-09-01,321376.108
2021-10-01,449454.01099999994
2021-11-01,488496.296
2021-12-01,548601.662
2022-01-01,556485.2890000001
2022-02-01,456821.737
2022-03-01,554761.327
2022-04-01,420006.18600000005
2022-05-01,438350.94700000004
2022-06-01,352191.71400000004
2022-07-01,179157.34100000001
