,선풍기 (방1)
0,103.756
288,208.099
576,311.752
864,415.346
1152,518.179
1440,621.077
1728,725.076
2016,827.847
2304,930.518
2592,1032.845
2880,1135.584
3168,2211.7830000000004
3456,3559.2000000000007
3744,5531.794000000001
4032,8924.511
4320,11593.082999999999
4608,14954.989999999998
4896,18293.057999999997
5184,22059.292999999998
5472,25051.537999999997
5760,29524.871999999996
6048,33686.416999999994
6336,37675.331999999995
6624,42017.903
6912,45936.603
7200,50227.0
7488,54737.13
7776,58778.909999999996
8064,63296.6
8352,66860.442
