,TV (거실)
96480,93.39800000000001
96768,187.745
97056,281.567
97344,374.665
97632,468.19300000000004
97920,561.363
98208,656.056
98496,750.4960000000001
98784,844.0730000000001
99072,938.7080000000001
99360,1032.499
99648,1125.559
99936,1221.038
100224,1315.275
100512,1409.1570000000002
100800,1503.083
101088,1596.633
101376,1689.9
101664,1782.6380000000001
101952,1876.1580000000001
102240,1970.5010000000002
102528,2063.84
102816,2158.257
103104,2253.547
103392,2347.235
103680,2440.918
103968,2535.322
104256,2630.525
104544,2725.455
104832,2818.944
