,TV3 (방2)
0,91.083
288,181.916
576,271.752
864,362.403
1152,453.664
1440,545.2669999999999
1728,635.9019999999999
2016,727.59
2304,818.292
2592,908.9770000000001
2880,999.3590000000002
3168,1090.69
3456,1182.646
3744,1273.0059999999999
4032,1363.167
4320,1453.435
4608,1564.661
4896,1679.6970000000001
5184,1795.4650000000001
5472,1909.89
5760,2023.509
6048,2137.6059999999998
6336,2252.4429999999998
6624,2367.8050000000003
6912,2481.726
7200,2595.0840000000003
7488,2709.2110000000002
7776,2823.012
8064,2937.69
8352,3052.7490000000003
