,에어컨 (방1)
96480,96.792
96768,193.544
97056,288.654
97344,382.699
97632,477.469
97920,573.7139999999999
98208,669.959
98496,766.7510000000001
98784,863.5030000000002
99072,958.6130000000002
99360,1052.6580000000001
99648,1147.428
99936,1243.6730000000002
100224,1339.9180000000001
100512,1436.71
100800,1533.462
101088,1628.5720000000001
101376,1722.6170000000002
101664,1817.3870000000002
101952,1913.632
102240,2009.877
102528,2106.669
102816,2203.421
103104,2298.531
103392,2392.576
103680,2487.346
103968,2583.591
104256,2679.836
104544,2776.6279999999997
104832,2873.3799999999997
