,노트북 (방3)
96480,2037.026
96768,4044.3210000000004
97056,6316.150000000001
97344,8941.831
97632,10954.089
97920,13184.856
98208,15708.206
98496,18964.934
98784,19559.279000000002
99072,20183.153000000002
99360,22193.95
99648,24563.09
99936,27986.248
100224,30749.078
100512,32902.343
100800,35771.829
101088,38868.106999999996
101376,41864.170999999995
101664,44264.505
101952,47058.72
102240,49112.775
102528,51366.577000000005
102816,54338.107
103104,57260.05
103392,59196.646
103680,61588.124
103968,62848.61
104256,63323.924
104544,66471.224
104832,68688.397
