,에어컨 (거실)
109044,3.794
109056,3.947
109068,4.194000000000001
109080,3.931
109092,4.058
109104,4.462
109116,4.196
109128,4.015
109140,3.7819999999999996
109152,4.184
109164,4.121
109176,4.268
109188,4.028
109200,4.085
109212,4.14
109224,4.3469999999999995
109236,3.7869999999999995
109248,4.119
109260,4.168
109272,4.162
109284,3.988
109296,3.837
109308,3.9779999999999998
109320,4.102
