,TV2 (방1)
105120,6905.3820000000005
105408,13580.817000000001
105696,17152.257
105984,24149.515
106272,24235.999
106560,25386.809
106848,27435.38
107136,31473.977
107424,40034.675
107712,43231.438
108000,49361.171
108288,57140.704000000005
108576,61228.75000000001
108864,65454.61800000001
109152,67571.171
109440,67571.171
109728,67571.171
110016,67571.171
110304,67571.171
110592,67571.171
110880,67571.171
111168,67571.171
111456,67571.171
111744,67571.171
112032,67571.171
112320,67571.171
112608,67571.171
112896,67571.171
113184,67571.171
113472,67571.171
113760,67571.171
