,선풍기 (방1)
105120,102.994
105408,335.41999999999996
105696,2174.855
105984,3851.376
106272,4684.176
106560,6812.286
106848,11312.226999999999
107136,16179.504
107424,19478.736
107712,22950.194
108000,26136.533
108288,27802.006
108576,29440.649
108864,30941.664
109152,31432.934
109440,31432.934
109728,31432.934
110016,31432.934
110304,31432.934
110592,31432.934
110880,31432.934
111168,31432.934
111456,31432.934
111744,31432.934
112032,31432.934
112320,31432.934
112608,31432.934
112896,31432.934
113184,31432.934
113472,31432.934
113760,31432.934
