,에어컨 (방1)
0,100.294
288,199.599
576,297.312
864,396.743
1152,496.718
1440,597.176
1728,696.8000000000001
2016,796.762
2304,896.913
2592,997.128
2880,1096.732
3168,1196.694
3456,1295.259
3744,1395.593
4032,1494.1200000000001
4320,1592.848
4608,1690.1599999999999
4896,1788.868
5184,1886.167
5472,1985.2549999999999
5760,2081.8289999999997
6048,2178.2769999999996
6336,2275.3719999999994
6624,2371.678
6912,2468.1769999999997
7200,2563.7789999999995
7488,2659.5139999999997
7776,2755.7339999999995
8064,2852.9969999999994
8352,2950.3379999999993
