,sum
105120,12518.105
105408,12160.891
105696,11949.901000000002
105984,13530.902
106272,4254.082
106560,8889.838000000002
106848,11005.254
107136,14133.275000000001
107424,18124.084000000003
107712,12332.86
108000,15980.136
108288,14369.534
108576,11131.16
108864,12532.7
109152,15011.859844726563
109440,17197.1609954834
109728,11253.525573730469
110016,13064.71907043457
110304,12534.623641967773
110592,12555.270637512207
110880,9504.404739379883
111168,11904.009212493896
111456,13444.004135131836
111744,11565.91342163086
112032,10967.897834777832
112320,9186.272369384766
112608,12555.303253173828
112896,12346.218994140625
113184,12668.081527709961
113472,15478.01919555664
113760,13509.616790771484
