,PC (방1),TV (거실),TV2 (방1),TV3 (방2),노트북 (방3),선풍기 (방1),선풍기1 (방1),세탁기 (발코니2),에어컨 (거실),에어컨 (방1),전기밥솥 (주방),전자레인지 (주방)
0,92.21700000000001,100.59299999999999,4604.856000000001,91.083,1826.891,103.756,836.5719999999999,360.207,100.49100000000001,100.294,98.94600000000001,1465.8020000000001
288,184.907,202.024,8284.938000000002,181.916,4810.842000000001,208.099,1741.9569999999999,1866.228,200.87,199.599,197.072,5636.017
576,277.496,300.37,12597.735000000002,271.752,7149.152,311.752,2319.607,2170.187,300.293,297.312,294.545,8982.835
864,369.75,401.451,14685.969000000003,362.403,9709.405999999999,415.346,3743.429,2477.076,399.457,396.743,392.678,10445.598999999998
1152,463.027,500.774,18798.323000000004,453.664,12553.596,518.179,4202.357,2787.3940000000002,497.91999999999996,496.718,490.053,12742.437999999998
1440,555.235,601.594,26714.040000000005,545.2669999999999,15256.213,621.077,4704.724,3095.0780000000004,598.3589999999999,597.176,588.162,16300.142999999998
1728,647.4300000000001,702.778,33284.971000000005,635.9019999999999,18383.506,725.076,5620.533,4578.478000000001,698.4759999999999,696.8000000000001,687.017,17769.334
2016,740.584,804.742,37724.512,727.59,20047.967000000004,827.847,6205.326,4892.12,798.901,796.762,785.05,19235.818
2304,833.7549999999999,905.8689999999999,43854.277,818.292,22715.146000000004,930.518,6721.483,6412.233,899.704,896.913,881.846,21516.339
2592,925.6279999999999,1005.8399999999999,47070.236000000004,908.9770000000001,25847.480000000003,1032.845,7524.786,6714.666,1000.4219999999999,997.128,980.573,25892.139
2880,1017.7909999999999,1106.3319999999999,48595.756,999.3590000000002,28644.042,1135.584,8527.529,7016.796,1098.697,1096.732,1078.12,29383.816
3168,1111.133,1205.0559999999998,53522.956,1090.69,31491.749,2211.7830000000004,8768.415,7319.316000000001,1198.791,1196.694,1175.274,31667.993
3456,1202.862,1305.3369999999998,53611.59,1182.646,33432.46,3559.2000000000007,10695.918000000001,8756.016000000001,1298.5249999999999,1295.259,1273.1729999999998,33123.471
3744,1294.832,1405.149,56261.706999999995,1273.0059999999999,37003.22,5531.794000000001,11832.904000000002,10130.084,1398.3059999999998,1395.593,1370.7099999999998,35358.413
4032,1386.9050000000002,1503.514,59204.407999999996,1363.167,39529.252,8924.511,14555.685000000001,11287.091,1497.9059999999997,1494.1200000000001,1467.4539999999997,37635.223
4320,1479.2939999999999,1604.0439999999999,62240.746,1453.435,42913.811,11593.082999999999,15964.567,11645.301000000001,1598.908,1592.848,1564.547,39870.21
4608,1571.0149999999999,1701.456,67161.437,1564.661,45628.576,14954.989999999998,17456.853,11999.27,1696.466,1690.1599999999999,1661.5330000000001,41318.478
4896,1663.302,1799.6299999999999,69429.99100000001,1679.6970000000001,48022.82,18293.057999999997,20515.211,13198.047,1794.927,1788.868,1759.027,42772.337
5184,1755.3619999999999,1900.187,74397.69600000001,1795.4650000000001,50889.641,22059.292999999998,22921.053,13560.101,1894.377,1886.167,1855.939,45018.04
5472,1848.2699999999998,1999.4879999999998,76033.57200000001,1909.89,52240.5,25051.537999999997,24108.525999999998,13924.135,1993.637,1985.2549999999999,1953.7160000000001,46479.202
5760,1940.7699999999998,2100.7349999999997,81691.95100000002,2023.509,54619.354,29524.871999999996,26638.018999999997,14286.01,2092.98,2081.8289999999997,2051.563,48719.880999999994
6048,2032.4949999999997,2199.2499999999995,87248.82300000002,2137.6059999999998,57112.842,33686.416999999994,28019.806999999997,15016.218,2191.386,2178.2769999999996,2147.489,50946.041999999994
6336,2123.6659999999997,2296.3839999999996,92111.68600000002,2252.4429999999998,59873.666,37675.331999999995,30124.210999999996,15768.208,2288.133,2275.3719999999994,2244.731,52393.022999999994
6624,2215.857,2395.397,98414.841,2367.8050000000003,62288.996,42017.903,31282.6,16132.089,2386.004,2371.678,2342.884,54622.912
6912,2307.412,2495.036,102417.156,2481.726,64225.236,45936.603,32254.906,16496.646,2483.5969999999998,2468.1769999999997,2438.896,56066.134999999995
7200,2399.895,2592.3720000000003,109605.993,2595.0840000000003,66450.609,50227.0,33753.517,16861.622,2581.2279999999996,2563.7789999999995,2535.525,58291.84
7488,2490.515,2691.2360000000003,116293.436,2709.2110000000002,68641.12999999999,54737.13,35543.785,17630.125,2680.8639999999996,2659.5139999999997,2631.839,61080.113999999994
7776,2582.871,2792.137,122326.821,2823.012,71666.397,58778.909999999996,38068.071,18489.509000000002,2779.4259999999995,2755.7339999999995,2728.153,62529.077
8064,2674.842,2892.005,129780.496,2937.69,74431.012,63296.6,39034.76,18798.381,2877.5079999999994,2852.9969999999994,2824.711,64803.7
8352,2766.5150000000003,2991.246,135435.701,3052.7490000000003,76994.38100000001,66860.442,39258.018000000004,19519.474000000002,2976.7789999999995,2950.3379999999993,2919.866,67066.54
