,TV3 (방2)
105120,90.46
105408,180.538
105696,270.134
105984,361.137
106272,451.23900000000003
106560,541.2810000000001
106848,630.4520000000001
107136,721.399
107424,809.509
107712,899.0540000000001
108000,989.565
108288,1078.806
108576,1168.2930000000001
108864,1257.814
109152,1313.353
109440,1313.353
109728,1313.353
110016,1313.353
110304,1313.353
110592,1313.353
110880,1313.353
111168,1313.353
111456,1313.353
111744,1313.353
112032,1313.353
112320,1313.353
112608,1313.353
112896,1313.353
113184,1313.353
113472,1313.353
113760,1313.353
