,TV2 (방1)
109044,3.5460000000000003
109056,3.380000000000001
109068,1149.238
109080,1530.9150000000002
109092,1471.1680000000001
109104,4.123
109116,3.7360000000000007
109128,3.442
109140,3.346
109152,3.6500000000000004
109164,3.665
109176,3.684
109188,3.7219999999999995
109200,3.6179999999999994
109212,3.4170000000000003
109224,3.6540000000000004
109236,3.5529999999999995
109248,3.3470000000000004
109260,3.3930000000000002
109272,3.7359999999999998
109284,404.844
109296,1446.771
109308,4.679
109320,220.82
