,PC (방1)
0,92.21700000000001
288,184.907
576,277.496
864,369.75
1152,463.027
1440,555.235
1728,647.4300000000001
2016,740.584
2304,833.7549999999999
2592,925.6279999999999
2880,1017.7909999999999
3168,1111.133
3456,1202.862
3744,1294.832
4032,1386.9050000000002
4320,1479.2939999999999
4608,1571.0149999999999
4896,1663.302
5184,1755.3619999999999
5472,1848.2699999999998
5760,1940.7699999999998
6048,2032.4949999999997
6336,2123.6659999999997
6624,2215.857
6912,2307.412
7200,2399.895
7488,2490.515
7776,2582.871
8064,2674.842
8352,2766.5150000000003
