,노트북 (방3)
109044,327.825
109056,330.935
109068,80.69900000000001
109080,2.029
109092,1.989
109104,1.868
109116,1.929
109128,1.782
109140,1.695
109152,1.8650000000000002
109164,1.9640000000000002
109176,2.0199999999999996
109188,49.833
109200,347.5609999999999
109212,290.14900000000006
109224,1.8439999999999999
109236,1.612
109248,1.709
109260,192.27100000000002
109272,67.93
109284,300.065
109296,4.09
109308,344.223
109320,310.471
